dd/mm/yyyy,hh:mm:ss GMT,Series,Track,Laps
30/11/14,04:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,06:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,08:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,10:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,12:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,14:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,16:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,18:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,20:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
30/11/14,22:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
01/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
02/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
02/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
03/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
04/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
05/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
